Module	Testcase	Actual Result	Note	Evidence
Lop hoc	LH001	PASS - Danh sach lop hoc render duoc, khong blank/overlay, search WEB hoat dong.	Desktop va mobile deu render.	Playwright live /courses, /courses?q=WEB
Lop hoc	LH002	PASS - Chi tiet lop render duoc, co noi dung lop, tab Thong bao/Bai tap.	Mo bang link lop co san trong seed.	Playwright live /courses/csdl-1-cmpmdex7c000204l23bdz0dvi
Lop hoc	LH003	PASS - Form/controls nhap du lieu lop duoc cover boi route va component/action tests.	Khong tao du lieu that khi test invalid.	Vitest course route/action suites
Lop hoc	LH004	PASS - Ten lop duoi 2 ky tu bi chan VALIDATION_ERROR, khong goi create DB.	Test case-level bang action mock.	Temporary Vitest deep case
Lop hoc	LH005	PASS - Ma lop duoi 2 ky tu bi chan VALIDATION_ERROR, khong goi create DB.	Test case-level bang action mock.	Temporary Vitest deep case
Lop hoc	LH006	PASS - Admin tao lop thieu lecturerId bi chan VALIDATION_ERROR.	Dung rule admin phai chon giang vien phu trach.	Temporary Vitest deep case
Lop hoc	LH007	PASS - studentId rong bi chan VALIDATION_ERROR.	Khong them courseMember.	Vitest course action suite
Lop hoc	LH008	PASS - Danh sach ma import rong bi chan VALIDATION_ERROR.	Khong them courseMember.	Vitest course action suite
Lop hoc	LH009	PASS - Lecturer tao lop hop le duoc action xu ly dung.	Success path cover bang suite co san.	Vitest course create action suite
Lop hoc	LH010	PASS - Them sinh vien hop le thanh cong, tra ve userId.	Mock DB xac nhan create courseMember va notify.	Temporary Vitest deep case
Lop hoc	LH011	PASS - Import nhieu ma trim/uppercase/deduplicate dung; added/alreadyMember/notFound dung.	Data a123456, A123456; B654321 duoc xu ly dung.	Temporary Vitest deep case
Lop hoc	LH012	PASS - Cap nhat chatMode ADMINS_ONLY va requirePostApproval=true thanh cong.	Revalidate old/new course path.	Temporary Vitest deep case
Lop hoc	LH013	PASS - Student khong duoc tao lop.	Bi chan boi authorization/permission guard.	Vitest course permission suite
Lop hoc	LH014	PASS - Lecturer khong so huu khong quan ly lop duoc.	Permission guard tra loi loi quyen.	Vitest course permission suite
Lop hoc	LH015	PASS - User ngoai lop khong xem duoc hoc tap cua lop.	Learning access guard chan.	Vitest course learning permission suite
Bai tap	BT001	PASS - Danh sach bai tap trong lop render/cau truc duoc cover.	Course detail co tab Bai tap; assignment route co seed.	Playwright live + Vitest course learning page
Bai tap	BT002	PASS - Chi tiet bai tap va form Nop bai hien voi sinh vien khi assignment con han.	Da tao assignment tam QA_TEMP, mo bang SV0001, xoa sach sau test.	Playwright live student e2e
Bai tap	BT003	PASS - Tao thong bao lop voi title duoi 2 ky tu bi chan VALIDATION_ERROR.	Khong ghi courseAnnouncement.	Temporary Vitest deep case
Bai tap	BT004	PASS - Tao thong bao lop voi content tren 5000 ky tu bi chan VALIDATION_ERROR.	Khong ghi courseAnnouncement.	Temporary Vitest deep case
Bai tap	BT005	PASS - Tao bai tap dueAt qua khu bi chan DEADLINE_IN_PAST.	Test dung Date.now() tai 2026-06-08, khong dung fixture cu.	Temporary Vitest deep case
Bai tap	BT006	PASS - Noi dung nop bai tren 10000 ky tu bi chan VALIDATION_ERROR.	Khong tao submission.	Vitest course learning action suite
Bai tap	BT007	PASS - Nop bai khong content va khong file bi chan EMPTY_SUBMISSION.	Live UI cung chan submit rong bang alert local.	Vitest + Playwright live student e2e
Bai tap	BT008	PASS - Cham diem score ngoai 0-10 bi chan VALIDATION_ERROR.	Khong update submission.	Temporary Vitest deep case
Bai tap	BT009	PASS - Tao bai tap PUBLISHED voi dueAt tuong lai thanh cong.	Khong bi anh huong fixture ngay cu.	Temporary Vitest deep case
Bai tap	BT010	PASS - Sinh vien nop bai hop le thanh cong.	Live e2e tao submission, so luong nop 0/1 -> 1/1, cleanup xoa 1 submission.	Playwright live student e2e
Bai tap	BT011	PASS - Lecturer cham diem 8.5 thanh cong.	Update score/feedback/gradedAt/gradedBy dung.	Temporary Vitest deep case
Bai tap	BT012	PASS - Bai da dong/het han khong cho nop.	DEADLINE_PASSED/NOT_PUBLISHED duoc cover.	Vitest course learning action suite
Bai tap	BT013	PASS - Sinh vien khong cham diem duoc.	Bi chan boi management access guard.	Vitest course learning permission suite
Su kien	SK001	PASS - Trang su kien render duoc, khong blank/overlay.	Desktop/mobile deu OK.	Playwright live /events
